Title,Directors,genres,Actors
Early Summer,Yasujirō Ozu,Drama,"Setsuko Hara, Chishu Ryu, Chikage Awashima, Kuniko Miyake, Ichiro Sugai, Chieko Higashiyama, Haruko Sugimura, Kuniko Igawa"
Street of Shame,Kenji Mizoguchi,"Drama, Prostitution","Machiko Kyô, Aiko Mimasu, Ayako Wakao, Michiyo Kogure, Eitarô Shindô, Kumeko Urabe, Bontarô Miake, Haruo Tanaka, Daisuke Kato, Hisao Toake, Yasuko Kawakami, Hiroko Machida, Sadako Sawamura, Toranosuke Ogawa"
A Special Day,Ettore Scola,"Drama, 1930s, Friendship, Gay & Lesbian","Sophia Loren, Marcello Mastroianni, John Vernon, Françoise Berd, Patrizia Basso"
Monsieur Verdoux,Charles Chaplin,"Comedy, Black Comedy, Crime, Based on a true story, Serial Killers, 1920s, 1930s","Charles Chaplin, Martha Raye, Marilyn Nash, Isobel Elsom, Robert Lewis, Mady Correll, Arthur Hohl, Allison Roddan, Audrey Betz, Ada May"
The Rules of the Game,Jean Renoir,"Drama, Comedy, Romance, Hunting, French Poetic Realism","Marcel Dalio, Nora Gregor, Jean Renoir, Roland Toutain, Mila Parély, Paulette Dubost, Julien Carette, Gaston Modot, Pierre Magnier, Eddie Debray"
The Killing,Stanley Kubrick,"Film noir, Mystery, Thriller, Crime, Heist Film","Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen, Marie Windsor, Ted de Corsia, Elisha Cook Jr., Joe Sawyer, Timothy Carey, Jay Adler, Joe Turkel, Kola Kwariani, James Edwards"
Doctor Zhivago,David Lean,"Drama, Romance, Adventure, Historical, Russian Revolution, Epic film, Romantic Drama","Omar Sharif, Julie Christie, Geraldine Chaplin, Alec Guinness, Rod Steiger, Tom Courtenay, Ralph Richardson, Siobhan McKenna, Rita Tushingham, Geoffrey Keen, Bernard Kay, Jack MacGowran, Adrienne Corri"
Star Wars IV: A New Hope,George Lucas,"Sci-Fi, Adventure, Space Adventure, Cult Movie, Star Wars","Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing, David Prowse, Peter Mayhew, Anthony Daniels, Kenny Baker, Phil Brown, Shelagh Fraser, Garrick Hagon, Denis Lawson"
The Lost Weekend,Billy Wilder,"Drama, Alcoholism","Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling, Frank Faylen, Mary Young, Anita Bolster, Lilian Fontaine, Frank Orth, Lewis L. Russell"
To Have and Have Not,Howard Hawks,"Film noir, Mystery, Thriller, II World War","Humphrey Bogart, Walter Brennan, Lauren Bacall, Dolores Moran, Hoagy Carmichael, Sheldon Leonard, Walter Szurovy, Marcel Dalio, Walter Sande, Dan Seymour, Aldo Nadi"
Toy Story 3,Lee Unkrich,"Animation, Fantasy, Adventure, Comedy, Kids, Sequel, Dolls, 3D, Pixar, Family-friendly","Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Estelle Harris, Blake Clark, Wallace Shawn, John Ratzenberger, Ned Beatty, Michael Keaton, Jodi Benson, Timothy Dalton"
Gladiator,Ridley Scott,"Action, Adventure, Drama, Roman Empire, Slavery, Revenge, Epic film","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Ralf Moeller, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Spencer Treat Clark, Tomas Arana, David Hemmings"
We All Loved Each Other So Much,Ettore Scola,"Drama, Comedy, Romance, Romantic Drama, 1940s, 1950s, 1960s","Nino Manfredi, Vittorio Gassman, Stefania Sandrelli, Stefano Satta Flores, Giovanna Ralli, Aldo Fabrizi, Mike Bongiorno, Federico Fellini, Marcello Mastroianni, Vittorio De Sica, Nello Meniconi, Guidarino Guidi, Isa Barzizza"
I Am Cuba,Mikhail Kalatozov,"Drama, War, Prostitution, Propaganda, Historical, Cuban revolution, Anthology Film, Cult Movie","Luz María Collazo, Raúl García, Jean Bouise, María de las Mercedes Díez, José Gallardo, Roberto García York, Bárbara Domínguez, Raquel Revuelta, Alberto Morgan, Celia Rodríguez, Sergio Corrieri, Salvador Wood, Fausto Mirabal, Luisa María Jiménez, Mario González Broche"
"Dr. Strangelove, or How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,"Comedy, War, Satire, Black Comedy, Cold War, Nuclear Holocaust","Peter Sellers, George C. Scott, Sterling Hayden, James Earl Jones, Keenan Wynn, Slim Pickens, Peter Bull, Tracy Reed, Jack Creley, Glenn Beck, Shane Rimmer, Paul Tamarin, Gordon Tanner, ""Robert ONeil"", Roy Stephens"
WALL•E,Andrew Stanton,"Animation, Sci-Fi, Romance, Kids, Robots, Post-apocalyptic Future, Space Adventure, Climate Change, Family-friendly, Pixar",Fred Willard
Snatch,Guy Ritchie,"Comedy, Black Comedy, Crime, Mafia, Heist Film, Cult Movie, Ensemble Film","Jason Statham, Stephen Graham, Brad Pitt, Alan Ford, Vinnie Jones, Rade Serbedzija, Dennis Farina, Benicio del Toro, Mike Reid, Ade, Robbie Gee, Lennie James, Ewen Bremner"
Up,"Pete Docter, Bob Peterson","Animation, Adventure, Comedy, Kids, Friendship, Old Age / Elderly, 3D, Family-friendly, Pixar","Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo, Jerome Ranft, John Ratzenberger"
American Beauty,Sam Mendes,"Drama, Comedy, Comedy-Drama, Family Relationships, Satire, Cult Movie","Kevin Spacey, Annette Bening, Thora Birch, Allison Janney, Peter Gallagher, Mena Suvari, Wes Bentley, Chris Cooper, Scott Bakula, Sam Robards, Barry Del Sherman, John Cho"
Floating Weeds,Yasujirō Ozu,"Drama, Remake, Stage Play","Ganjiro Nakamura, Haruko Sugimura, Hiroshi Kawaguchi, Machiko Kyô, Ayako Wakao, Hitomi Nozoe, Chishu Ryu, Koji Mitsui, Haruo Tanaka"
Rurouni Kenshin: Reminiscence,Kazuhiro Furuhashi,"Animation, Drama, Action, Romance, Samurai, Ninjas, Historical, 19th Century, Feudal Japan, Prequel, Manga, Adult Animation",
Fanny & Alexander,Ingmar Bergman,"Drama, 1900s, Childhood, Family Relationships, Religion","Bertil Guve, Pernilla Allwin, Gunn Wållgren, Ewa Fröling, Jarl Kulle, Erland Josephson, Allan Edwall, Börje Ahlstedt, Mona Malm, Gunnar Björnstrand, Jan Malmsjö, Mats Bergman, Lena Olin, Peter Stormare"
The African Queen,John Huston,"Adventure, Romance, I World War, Africa, Survival Film","Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull, Theodore Bikel, Walter Gotell, Peter Swanwick, Richard Marner"
Irma la Douce,Billy Wilder,"Comedy, Prostitution, Romantic Comedy","Jack Lemmon, Shirley MacLaine, Lou Jacobi, Bruce Yarnell, Herschel Bernardi, Hope Holiday, Joan Shawlee, Grace Lee Whitney, Paul Dubov, Howard McNear, Cliff Osmond, Diki Lerner, Herb Jones"
Chinatown,Roman Polanski,"Film noir, Mystery, Drama, Neo-noir, Crime, 1930s","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, Burt Young, John Hillerman, Darrel Zwerling, Roman Polanski, Diane Ladd, Richard Bakalyan, Joe Mantell, Roy Jenson, James Hong"
Ben-Hur,William Wyler,"Adventure, Drama, Epic film, Roman Empire, Slavery, Friendship, Religion, Revenge, Remake","Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet, Hugh Griffith, Martha Scott, ""Cathy ODonnell"", Sam Jaffe, Frank Thring, Terence Longdon, George Relph, André Morell, Finlay Currie, John Le Mesurier"
Big Fish,Tim Burton,"Drama, Fantasy, Adventure, Family Relationships, Magic Realism, 1980s","Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Alison Lohman, Helena Bonham Carter, Steve Buscemi, Danny DeVito, Marion Cotillard, Jeff Campbell, Missi Pyle, Robert Guillaume, David Denman, Loudon Wainwright, Deep Roy, Miley Cyrus"
The Mother and the Whore,Jean Eustache,"Drama, Romance, Nouvelle vague (New Wave), Psychological Drama","Jean-Pierre Léaud, Françoise Lebrun, Bernadette Lafont, Pierre Cottrell, Isabelle Weingarten, Jean Douchet, Jean-Claude Biette, Jean Eustache, Jacques Renard"
The Cranes are Flying,Mikhail Kalatozov,"Romance, Drama, Romantic Drama, II World War","Tatyana Samojlova, Aleksey Batalov, Vasiliy Merkurev, Konstantin Nikitin, Svetlana Kharitonova, Aleksandr Shvorin, Valentin Zubkov, Boris Kokovkin, Antonina Bogdanova"
Ivan The Terrible. Part I,Sergei M. Eisenstein,"Drama, Biography, 16th Century","Nikolai Cherkasov, Serafima Birman, Ludmila Tselikovskaya, Mikhail Nazvanov, Pavel Kadochnikov, Mikhail Zharov, Mikhail Kuznetsov, Vsevolod Pudovkin"
To Live,Zhang Yimou,"Drama, Family Relationships, 1940s, 1950s, 1960s, 1970s, Chinese Cultural Revolution, Gambling","Gong Li, Ge You, Jiang Wu, Niu Ben, Guo Tao, Ni Dahong, Zhang Lu, Liu Tianchi, Su Yan, Xiao Cong"
In a Lonely Place,Nicholas Ray,"Film noir, Mystery, Drama, Crime, Romantic Drama, Psychological Drama, Film In Film","Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid, Art Smith, Jeff Donnell, Martha Stewart, Robert Warwick, Morris Ankrum, William Ching, Steven Geray, Hadda Brooks"
It Happened One Night,Frank Capra,"Romance, Comedy, Screwball comedy, Romantic Comedy, Road Movie","Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Ward Bond, Eddy Chandler, Arthur Hoyt, Alan Hale"
Key Largo,John Huston,"Film noir, Thriller, Crime, Kidnapping Film / Disappearance","Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore, Claire Trevor, Thomas Gomez, Harry Lewis, John Rodney, Marc Lawrence, Dan Seymour, Monte Blue, William Haade"
Cool Hand Luke,Stuart Rosenberg,"Drama, Prison Drama","Paul Newman, George Kennedy, Dennis Hopper, Harry Dean Stanton, Strother Martin, Lou Antonio, J.D. Cannon, Ralph Waite, Anthony Zerbe, Joe Don Baker, Wayne Rogers, Jo Van Fleet"
Gone with the Wind,"Victor Fleming, George Cukor, Sam Wood","Drama, Romance, Adventure, American Civil War, 19th Century, Romantic Drama, Southern Gothic, Epic film","Vivien Leigh, Clark Gable, Olivia de Havilland, Leslie Howard, Hattie McDaniel, Thomas Mitchell, ""Barbara ONeil"", Butterfly McQueen, Ona Munson, Ann Rutherford, Evelyn Keyes, Mickey Kuhn, Ward Bond"
Interstellar,Christopher Nolan,"Sci-Fi, Drama, Adventure, Space Adventure, Post-apocalyptic Future, Time Travel, Cult Movie","Matthew McConaughey, Anne Hathaway, David Gyasi, Jessica Chastain, Mackenzie Foy, Matt Damon, Michael Caine, John Lithgow, Casey Affleck, Timothée Chalamet, Wes Bentley, Ellen Burstyn, Topher Grace"
Monty Python's Life of Brian,Terry Jones,"Comedy, Satire, Parody, Broad Comedy, Black Comedy, Religion, Cult Movie","John Cleese, Michael Palin, Graham Chapman, Eric Idle, Terry Jones, Terry Gilliam, Sue Jones-Davies, Carol Cleveland, Terence Bayler, Andrew MacLachlan, Charles McKeown"
The Ascent,Larisa Shepitko,"War, Drama, II World War, Cult Movie","Boris Plotnikov, Vladimir Gostyukhin, Sergei Yakovlev, Viktoriya Goldentul, Lyudmila Polyakova, Mariya Vinogradova, Mikhail Selyutin, Leonid Yukhin, Vasili Kravtsov"
"America, America",Elia Kazan,"Drama, Immigration","Stathis Giallelis, Frank Wolff, Harry Davis, Elena Karam, Estelle Hemsley, Gregory Rozakis, Lou Antonio, Paul Mann, John Marley, Linda Marsh"
Birdman of Alcatraz,John Frankenheimer,"Drama, Prison Drama, Birds, 1910s, 1920s, 1950s, Based on a true story","Burt Lancaster, Karl Malden, Neville Brand, Thelma Ritter, Betty Field, Hugh Marlowe, ""Edmond OBrien"", Telly Savalas"
Stalker,Andrei Tarkovsky,"Sci-Fi, Drama, Mystery, Dystopia, Cult Movie","Aleksandr Kaidanovsky, Anatoly Solonitsyn, Nikolai Grinko, Natalya Abramova, Alisa Freyndlikh, Faime Jurno, Raymo Rendi"
Django Unchained,Quentin Tarantino,"Western, Southern Gothic, Slavery, Racism, Spaghetti Western, 19th Century, Revenge","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Don Johnson, Walton Goggins, Laura Cayouette, Dennis Christopher, M.C. Gainey, James Remar, Michael Parks, Bruce Dern"
Star Wars. Episode VI: Return of the Jedi,Richard Marquand,"Sci-Fi, Adventure, Space Adventure, Sequel, Cult Movie, Star Wars","Mark Hamill, Harrison Ford, Carrie Fisher, David Prowse, Ian McDiarmid, Billy Dee Williams, Frank Oz, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, Sebastian Shaw, Warwick Davis"
The Cameraman,"Edward Sedgwick, Buster Keaton","Comedy, Drama, Silent Film","Buster Keaton, Marceline Day, Harry Gribbon, Harold Goodwin, Sidney Bracey, Ray Cooke, William Irving, Bert Moorhouse, Vernon Dent, Richard Alexander"
"Dr. Mabuse, the Gambler",Fritz Lang,"Thriller, Drama, Crime, Cop Movies, German Expressionism, Silent Film","Rudolf Klein-Rogge, Alfred Abel, Aud Egede Nissen, Bernhard Goetzke, Paul Richter"
The Phantom Carriage,Victor Sjöström,"Drama, Fantasy, Silent Film, ""New Years Eve""","Victor Sjöström, Hilda Borgström, Tore Svennberg, Hildur Lithman, Olof Ås, Astrid Holm, Lisa Lundholm, Simon Lindstrand, Einar Axelsson, Nils Ahrén, Tor Weijden, Concordia Selander, Nils Elffors, Algot Gunnarsson, John Ekman"
Winter Light,Ingmar Bergman,"Drama, Religion, Small Town Life (Non-North American), Psychological Drama","Ingrid Thulin, Max von Sydow, Gunnar Björnstrand, Gunnel Lindblom, Allan Edwall, Kölbjorn Knudsen, Olof Thunberg, Elsa Ebbesen, Tor Borong, Bertha Sannell"
The Children's Hour,William Wyler,"Drama, Psychological Drama, Boarding School, Gay & Lesbian, Remake","Audrey Hepburn, Shirley MacLaine, James Garner, Miriam Hopkins, Fay Bainter, Karen Balkin, Veronica Cartwright, Mimi Gibson, Debbie Moldow, Diane Mountford, William Mims, Sally Brophy"
The Virgin Spring,Ingmar Bergman,"Drama, 14th Century, Middle Ages, Sexual Abuse, Revenge","Max von Sydow, Birgitta Valberg, Gunnel Lindblom, Birgitta Pettersson, Axel Düberg, Allan Edwall, Tor Isedal"
Scarface,Howard Hawks,"Film noir, Thriller, Cop Movies, Crime, Mafia","Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins, C. Henry Gordon, George Raft, Vince Barnett, Boris Karloff, Purnell Pratt, Tully Marshall, Inez Palange, Edwin Maxwell, ""Dennis OKeefe"""
Roman Holiday,William Wyler,"Comedy, Romance, Romantic Comedy, Journalism","Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, Harcourt Williams, Margaret Rawlings, Tullio Carminati, Paolo Carlini, Claudio Ermelli, Paola Borboni, Alfredo Rizzo, Laura Solari, Gorella Gori"
Carlito's Way,Brian De Palma,"Thriller, Mafia, Crime, Drugs, 1970s","Al Pacino, Sean Penn, Penelope Ann Miller, James Rebhorn, John Leguizamo, Luis Guzmán, Viggo Mortensen, Ingrid Rogers, Julieta Ortega, Joseph Siravo, Adrian Pasdar, Richard Forojny, Jorge Porcel"
The Departed,Martin Scorsese,"Thriller, Drama, Action, Mafia, Remake, Crime, Cop Movies","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Vera Farmiga, Alec Baldwin, Martin Sheen, Ray Winstone, Kevin Corrigan, James Badge Dale, ""David OHara"", Anthony Anderson, Mark Rolston, Conor Donovan, Francesca Scorsese"
An Autumn Afternoon,Yasujirō Ozu,"Drama, Family Relationships","Chishu Ryu, Shima Iwashita, Shinichiro Mikami, Keiji Sada, Mariko Okada, Nobuo Nakamura, Teruo Yoshida, Noriko Maki, Eijirô Tono, Kuniko Miyake, Kyôko Kishida, Michiyo Tamaki, Ryuji Kita, Toyo Takahashi"
L'Atalante,Jean Vigo,"Drama, Romance, French Poetic Realism","Jean Dasté, Dita Parlo, Michel Simon, Gilles Margaritis, Louis Lefebvre, Maurice Gilles, Raphaël Diligent"
The Killers,Robert Siodmak,"Film noir, Mystery, Crime, Heist Film","Burt Lancaster, Ava Gardner, ""Edmond OBrien"", Albert Dekker, Sam Levene, Vince Barnett, Virginia Christine, Charles D. Brown, Jack Lambert, Donald MacBride, Charles McGraw, William Conrad, Phil Brown"
Crimes and Misdemeanors,Woody Allen,"Drama, Comedy, Comedy-Drama, Ensemble Film","Woody Allen, Alan Alda, Claire Bloom, Anjelica Huston, Mia Farrow, Martin Landau, Jerry Orbach, Caroline Aaron, Sam Waterston, Joanna Gleason, Martin S. Bergmann, Jenny Nichols, Daryl Hannah, Zina Jasper, Frances Conroy"
Butch Cassidy and the Sundance Kid,George Roy Hill,"Western, Crime, Buddy Film, Friendship, Cult Movie","Robert Redford, Paul Newman, Katharine Ross, Strother Martin, Jeff Corey, Henry Jones, Cloris Leachman, Ted Cassidy, Kenneth Mars"
The Bridge on the River Kwai,David Lean,"War, Adventure, II World War, Army, Prison Drama","William Holden, Alec Guinness, Jack Hawkins, James Donald, Sessue Hayakawa, André Morell, Geoffrey Horne, Peter Williams, John Boxer, Percy Herbert, Harold Goodwin, Ann Sears, Heihachiro Okawa"
The Name of the Rose,Jean-Jacques Annaud,"Mystery, Drama, Middle Ages, 14th Century, Crime, Religion","Sean Connery, Christian Slater, F. Murray Abraham, Michael Lonsdale, Valentina Vargas, Ron Perlman, Feodor Chaliapin Jr., William Hickey, Volker Prechtel, Leopoldo Trieste, Helmut Qualtinger, Elya Baskin, Michael Habeck, Urs Althaus, Vernon Dobtcheff, Andrew Birkin"
Memento,Christopher Nolan,"Thriller, Mystery, Crime, Revenge, Neo-noir, Cult Movie, Independent Film (US)","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Stephen Tobolowsky, Harriet Sansom Harris, Jorja Fox, Larry Holden, Callum Keith Rennie"
The Earrings of Madame De...,Max Ophüls,"Drama, 19th Century, Romantic Drama","Charles Boyer, Danielle Darrieux, Vittorio De Sica, Lia de Lea, Hubert Noël, Jean Debucourt, Jean Galland, Mireille Perrey, Paul Azaïs, Josselin"
Intolerance,D.W. Griffith,"Drama, Silent Film, Anthology Film","Lillian Gish, Mae Marsh, Constance Talmadge, Robert Harron, Miriam Cooper, Walter Long, Alfred Paget, Edward Dillon, Lloyd Ingraham, Marguerite Marsh, Seena Owen, Elmo Lincoln, Bessie Love, Tom Wilson, Monte Blue, Billy Quirk"
The Train,John Frankenheimer,"Mystery, War, Drama, II World War, Trains / Subways, Nazism, Painting","Burt Lancaster, Paul Scofield, Jeanne Moreau, Michel Simon, Howard Vernon, Suzanne Flon, Charles Millot, Wolfgang Preiss, Albert Rémy"
Kagemusha the Shadow Warrior,Akira Kurosawa,"Drama, 16th Century, Feudal Japan, Epic film","Tatsuya Nakadai, Tsutomu Yamazaki, Kenichi Hagiwara, Daisuke Ryû, Masayuki Yui, Jinpachi Nezu, Hideji Ôtaki, Kaori Momoi, Mitsuko Baisho, Hideo Murota, Takayuki Shiho, Kôji Shimizu, Noboru Shimizu"
The Man Who Would Be King,John Huston,"Adventure, 19th Century, Colonialism, Friendship","Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey, Doghmi Larbi, Shakira Caine, Karroom Ben Bouih, Jack May, Mohammed Shamsi, Albert Moses, Paul Antrim, Graham Acres"
Oldboy,Park Chan-wook,"Thriller, Mystery, Kidnapping Film / Disappearance, Revenge, Manga, Cult Movie, Live-Action","Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han, Oh Dal-su, Kim Byung-ok, Lee Seung-shin, Yoon Jin-seo, Oh Tae-kyung, Yoo Yeon-seok, Lee Mi-mi, Lee Dae-yeon, Oh Kwang-rok"
Seventh Heaven (7th Heaven),Frank Borzage,"Drama, Melodrama, Silent Film","Janet Gaynor, Charles Farrell, Gladys Brockwell, David Butler, Ben Bard, Albert Gran, Marie Mosquini, George E. Stone, Brandon Hurst, Lillian West"
The Big Parade,King Vidor,"War, Drama, I World War, Silent Film","John Gilbert, Renée Adorée, Hobart Bosworth, Karl Dane, Rosita Marstini, Claire McDowell, Claire Adams, Robert Ober, Tom O´Brien, Harry Crocker"
Die Nibelungen: Kriemhild's Revenge (Die Nibelungen - Part II),Fritz Lang,"Fantasy, Adventure, Drama, Sequel, Sword and Sorcery, German Expressionism, Silent Film","Margarete Schön, Gertrud Arnold, Theodor Loos, Hans Adalbert Schlettow, Bernhard Goetzke, Yuri Yurovsky, Georg John, Fritz Alberti, Annie Röttgen, Erwin Biswanger, Rudolf Rittner, Hans Carl Mueller, Rudolf Klein-Rogge, Georg August Koch"
All Quiet on the Western Front,Lewis Milestone,"War, I World War, Army, Friendship","Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy, Ben Alexander, Scott Kolk, Owen Davis Jr., Walter Browne Rogers, Slim Summerville, Russell Gleason, William Bakewell, Richard Alexander, Harold Goodwin, Pat Collins"
Mr. Smith Goes to Washington,Frank Capra,"Drama, Politics","James Stewart, Jean Arthur, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, William Demarest"
Red River,"Howard Hawks, Arthur Rosson","Western, Friendship, 19th Century","John Wayne, Montgomery Clift, Walter Brennan, Joanne Dru, John Ireland, Coleen Gray, Harry Carey, Noah Beery Jr., Hank Worden, Davison Clark, Paul Fix, Mickey Kuhn, Hal Taliaferro"
Underground,Emir Kusturica,"Comedy, Drama, II World War, 1960s, Balkan Wars, Family Relationships, Film In Film, Magic Realism, Comedy-Drama, Black Comedy, Satire","Miki Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac, Ernst Stötzner, Srdjan Todorovic, Mirjana Karanovic, Milena Pavlovic, ""Danilo Bata Stojkovic"", Bora Todorovic, Davor Dujmovic"
October (Ten Days that Shook the World),"Sergei M. Eisenstein, Grigori Aleksandrov","Drama, Silent Film, Russian Revolution, Politics, Propaganda","Vassilli Nikandrov, Boris Livanov, Eduard Tissé, Nikolai Podvoisky"
Ball of Fire,Howard Hawks,"Romance, Comedy, Screwball comedy, Romantic Comedy","Gary Cooper, Barbara Stanwyck, Oskar Homolka, Henry Travers, Tully Marshall, Richard Haydn, S.Z. Sakall, Aubrey Mather, Dana Andrews, Dan Duryea, Ralph Peters, Kathleen Howard, Mary Field, Charles Lane, Elisha Cook Jr."
The Leopard,Luchino Visconti,"Drama, 19th Century, Historical","Burt Lancaster, Claudia Cardinale, Alain Delon, Paolo Stoppa, Rina Morelli, Romolo Valli, Terence Hill, Pierre Clémenti, Lucilla Morlacchi, Giuliano Gemma, Ida Galli, Ottavia Piccolo, Serge Reggiani"
A Place in the World,Adolfo Aristarain,"Drama, Small Town Life (Non-North American), Social Drama","Federico Luppi, Cecilia Roth, José Sacristán, Leonor Benedetto, Lito Cruz, Rodolfo Ranni, Marcos Woinsky, Mariano Ortega, Gastón Batyi, Lorena del Río, Hugo Arana, Mario Alarcón, Juan José Ghisalberti"
Hate,Mathieu Kassovitz,"Drama, Crime, Street Gang, Cult Movie","Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo, Joseph Momo, Héloïse Rauth, Rywka Wajsbrot, Olga Abrego, Laurent Labasse, Choukri Gabteni, Nabil Ben Mhamed, Benoît Magimel, Mathieu Kassovitz, Anthony Souter"
Persepolis,"Marjane Satrapi, Vincent Paronnaud","Animation, Drama, Adult Animation, Based on a Comic, Biography, 1990s, Feminism, Religion","Chiara Mastroianni, Catherine Deneuve, Danielle Darrieux, Simon Abkarian"
Miller's Crossing,Joel Coen,"Film noir, Drama, Mafia, Neo-noir, Crime, 1920s","Gabriel Byrne, Marcia Gay Harden, Albert Finney, Jon Polito, J.E. Freeman, John Turturro, Steve Buscemi, Mike Starr, Richard Woods, Al Mancini, Sam Raimi, Frances McDormand"
Nine Queens,Fabián Bielinsky,"Thriller, Mystery, Drama, Heist Film, Cult Movie","Ricardo Darín, Gastón Pauls, Leticia Brédice, Tomás Fonzi, Ignasi Abadal, Roly Serrano, Alejandro Awada, Antonio Ugo, Elsa Berenguer, Celia Juárez, Leo Dyzen, Graciela Tenenbaum, Oscar Nuñez"
Indiana Jones and the Last Crusade,Steven Spielberg,"Adventure, Action, Sequel, Nazism, 1930s","Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott, John Rhys-Davies, River Phoenix, Julian Glover, Michael Byrne, Kevork Malikyan, Robert Eddison, Alexei Sayle, Richard Young, J.J. Hardy"
Raiders of the Lost Ark,Steven Spielberg,"Adventure, Action, Nazism, 1930s","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey, John Rhys-Davies, Vic Tablian, Denholm Elliott, Wolf Kahler, Alfred Molina, George Harris, Don Fellows, William Hootkins, Tutte Lemkov, Eddie Tagoe, Anthony Higgins, Frank Marshall"
Monty Python Live at the Hollywood Bowl,"Terry Hughes, Ian MacNaughton","Comedy, Sketch Comedy, Stage Play","Graham Chapman, John Cleese, Terry Gilliam, Carol Cleveland, Eric Idle, Neil Innes, Terry Jones, Michael Palin"
"I Was Born, But... (Children of Tokyo)",Yasujirō Ozu,"Drama, Comedy, Childhood, Family Relationships, Silent Film","Tatsuo Saito, Mitsuko Yoshikawa, Seiichi Kato, Michio Sato, Zentaro Iijima, Takeshi Sakamoto, Shôtarô Fujimatsu, Teruaki Ishiwatari, Masao Hayama, Akio Nomura, Teruyo Hayami, Hideo Sugawara, Seiji Nishimura, Chishu Ryu"
Midnight,Mitchell Leisen,"Comedy, Romantic Comedy, Screwball comedy, Sophisticated Comedy","Claudette Colbert, Don Ameche, John Barrymore, Mary Astor, Lionel Pape, Elaine Barrie, Hedda Hopper, ""Rex OMalley"", Armand Kaliz, Gennaro Curci, Francis Lederer, Ferdinand Munier, Monty Woolley"
Children of Heaven,Majid Majidi,"Drama, Childhood, Poverty, Family Relationships",
Come and See,Elem Klimov,"War, Drama, II World War, Nazism, Holocaust, Psychological Drama, Based on a true story","Alexei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
The Last Picture Show,Peter Bogdanovich,"Drama, 1950s, Small Town Life (North-american), Teen/coming-of-age, Southern Gothic, Cult Movie","Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson, Cloris Leachman, Ellen Burstyn, Randy Quaid, Sharon Taggart, John Hillerman, Clu Gulager"
Capernaum,Nadine Labaki,"Drama, Poverty, Childhood","Zain Al Rafeea, Yordanos Shiferaw, Kawthar Al Haddad, Fadi Kamel Youssef, Cedra Izam, Boluwatife Treasure Bankole, Alaa Chouchnieh, Nour el Husseini, Elias Khoury, Nadine Labaki"
Johnny Guitar,Nicholas Ray,"Western, Drama, Cult Movie","Joan Crawford, Sterling Hayden, Scott Brady, Mercedes McCambridge, Ward Bond, Ernest Borgnine, John Carradine, Royal Dano, Ben Cooper"
"Paris, Texas",Wim Wenders,"Drama, Road Movie, Cult Movie","Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Aurore Clément, Hunter Carson, Bernhard Wicki, Socorro Valdez, John Lurie, Sally Norvell, Sharon Menzel, Tom Farrell, Viva"
The Shop on Main Street,"Ján Kadár, Elmar Klos","Drama, Holocaust, Czechoslovak New Wave, II World War, 1940s","Josef Kroner, Frantisek Zvarik, Ida Kaminska, Hana Slivkova, Martin Holly, Helena Zvarikova, Martin Gregory, Adam Matejka"
