Title,Directors,genres,Actors
Her,Spike Jonze,"Sci-Fi, Romance, Drama, Romantic Drama, Comedy-Drama, Computers / Internet, Artificial Intelligence","Joaquin Phoenix, Amy Adams, Rooney Mara, Olivia Wilde, Chris Pratt, Portia Doubleday, Matt Letscher, Brian Johnson, Pramod Kumar, Steve Zissis, Luka Jones, Claudia Choi, Lisa Cohen, Laura Kai Chen, Scarlett Johansson"
The Dark Knight Rises,Christopher Nolan,"Thriller, Action, Drama, Superheroes, Based on a Comic, DC Comics, Sequel","Christian Bale, Anne Hathaway, Tom Hardy, Joseph Gordon-Levitt, Michael Caine, Gary Oldman, Marion Cotillard, Ben Mendelsohn, Morgan Freeman, Matthew Modine, Josh Stewart, Tom Conti, Burn Gorman"
The Others,Alejandro Amenábar,"Mystery, Horror, Supernatural, Haunted Houses, Ghosts, 1940s","Nicole Kidman, Fionnula Flanagan, Christopher Eccleston, Alakina Mann, James Bentley, Eric Sykes, Elaine Cassidy, Renée Asherson, Michelle Fairley"
E.T. the Extra-Terrestrial,Steven Spielberg,"Sci-Fi, Fantasy, Drama, Aliens, Family-friendly, Friendship","Henry Thomas, Dee Wallace, Robert MacNaughton, Drew Barrymore, Peter Coyote, C. Thomas Howell, K.C. Martel, Sean Frye, Erika Eleniak, ""David M. ODell"", Richard Swingler, Frank Toth, Robert Barton"
The Face of Another,Hiroshi Teshigahara,"Drama, Sci-Fi, Psychological Drama","Tatsuya Nakadai, Machiko Kyô, Mikijiro Hira, Kyôko Kishida, Hideo Kanze, Eiji Okada, Minoru Chiaki, Kunie Tanaka, Etsuko Ichihara, Eiko Muramatsu, Miki Irie, Yoshie Minami, Hisashi Igawa"
Dr. Jekyll and Mr. Hyde,Rouben Mamoulian,"Horror, Sci-Fi, Drama, 19th Century","Fredric March, Miriam Hopkins, Rose Hobart, Holmes Herbert, Halliwell Hobbes, Edgar Norton, Tempe Pigott"
The Lovers of Montparnasse,Jacques Becker,"Drama, 1910s, 1920s, Painting, Biography","Gérard Philipe, Lilli Palmer, Anouk Aimée, Lila Kedrova, Arlette Poirier, Pâquerette, Marianne Oswald, Judith Magre, Denise Vernac, Lino Ventura, Lea Padovani, Gérard Sety"
Bound by Honor,Taylor Hackford,"Drama, Prison Drama, Street Gang, 1970s, 1980s","Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo, Victor Rivers, Delroy Lindo, Billy Bob Thornton, Danny Trejo, Ving Rhames, Lupe Ontiveros"
Lost Horizon,Frank Capra,"Adventure, Fantasy, Drama","Ronald Colman, Jane Wyatt, John Howard, Edward Everett Horton, H.B. Warner, Thomas Mitchell, Isabel Jewell, Sam Jaffe"
The Look of Ulysses,Theo Angelopoulos,"Drama, Film In Film, Road Movie","Harvey Keitel, Maia Morgenstern, Erland Josephson, Giorgos Konstas, Dora Volanki, Alekos Udinotis, Thanassis Vengos, Thanos Grammenos, Mania Papadimitriou, Angel Ivanov, Ljuba Tadic, Yorgos Michalakopoulos"
The Loneliness of the Long Distance Runner,Tony Richardson,"Drama, Prison Drama, Athletics, Sports, Free Cinema","Tom Courtenay, Michael Redgrave, James Bolam, Avis Bunnage, Alec McCowen, Dervis Ward, Joe Robinson, Julia Foster, Frank Finlay, Topsy Jane, Edward Fox, Peter Madden, John Thaw, James Fox, Joe Robinson, John Bull"
Gunfight at the OK Corral,John Sturges,Western,"Burt Lancaster, Kirk Douglas, Rhonda Fleming, Jo Van Fleet, DeForest Kelley, John Hudson, Lee Van Cleef, John Ireland, Jack Elam, Olive Carey, Don Castle, Kenneth Tobey, Earl Holliman"
Harold and Maude,Hal Ashby,"Comedy, Drama, Black Comedy, Comedy-Drama, Friendship, Old Age / Elderly, Cult Movie","Bud Cort, Ruth Gordon, Vivian Pickles, Cyril Cusack, Charles Tyner, Ellen Geer, Tom Skerritt, Eric Christmas, Gordon Devol, Ray K. Goman, Sonia Sorel"
The Discreet Charm of the Bourgeoisie,Luis Buñuel,"Comedy, Drama, Surrealism, Satire, Experimental Cinema","Fernando Rey, Paul Frankeur, Delphine Seyrig, Jean-Pierre Cassel, Stéphane Audran, Michel Piccoli, Bulle Ogier, Julien Bertheau, Milena Vukotic, Maria Gabriella Maione, Claude Piéplu, Muni, François Maistre, Pierre Maguelon, Maxence Mailfort"
Perfect Blue,Satoshi Kon,"Animation, Horror, Thriller, Drama, Psychological Drama, Psychological Thriller, Film In Film, Computers / Internet, Adult Animation, Cult Movie",
Breaking the Waves,Lars von Trier,"Drama, Romance, Disability, Religion, Small Town Life (Non-North American), Romantic Drama, Cult Movie","Emily Watson, Stellan Skarsgård, Katrin Cartlidge, Jean-Marc Barr, Udo Kier, Adrian Rawlins, Mikkel Gaup, Jonathan Hackett, Sandra Voe, Roef Ragas, Phil McCall, Robert Robertson, Desmond Reilly, Sarah Gudgeon, Finlay Welsh, David Gallagher"
Sabrina,Billy Wilder,"Romance, Comedy, Romantic Comedy, Sophisticated Comedy","Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden, John Williams, Martha Hyer, Joan Vohs, Marcel Dalio, Marcel Hillaire, Nella Walker, Francis X. Bushman, Ellen Corby"
The Man from Earth,Richard Schenkman,"Sci-Fi, Mystery, Drama, One Location, Cult Movie, Independent Film (US)","David Lee Smith, John Billingsley, Ellen Crawford, William Katt, Annika Peterson, Richard Riehle, Alexis Thorpe, Tony Todd, Steven Littles, Robbie Bryan, Chase Sprague"
